2025-09-21 19:01:20,786 - INFO] {'__module__': '__main__', 'seed': 42, 'pass_channel': True, 'CUDA': True, 'device': device(type='cuda', index=0), 'norm': False, 'print_step': 100, 'plot_step': 10000, 'filename': '2025-09-21 19:01:20', 'workdir': './history/2025-09-21 19:01:20', 'log': './history/2025-09-21 19:01:20/Log_2025-09-21 19:01:20.log', 'samples': './history/2025-09-21 19:01:20/samples', 'models': './history/2025-09-21 19:01:20/models', 'logger': <Logger Deep joint source channel coder (INFO)>, 'normalize': False, 'learning_rate': 0.0001, 'tot_epoch': 10000000, 'save_model_freq': 100, 'image_dims': (3, 256, 256), 'base_path': '/home/matthewwang16czap/datasets/DIV2K/', 'test_data_dir': ['/home/matthewwang16czap/datasets/Kodak/'], 'train_data_dir': ['/home/matthewwang16czap/datasets/DIV2K//clic2020/**', '/home/matthewwang16czap/datasets/DIV2K//clic2021/train', '/home/matthewwang16czap/datasets/DIV2K//clic2021/valid', '/home/matthewwang16czap/datasets/DIV2K//clic2022/val', '/home/matthewwang16czap/datasets/DIV2K//DIV2K_train_HR', '/home/matthewwang16czap/datasets/DIV2K//DIV2K_valid_HR'], 'batch_size': 16, 'downsample': 4, 'channel_number': None, 'encoder_kwargs': {'model': 'SwinJSCC_w/_SAandRA', 'img_size': (256, 256), 'patch_size': 2, 'in_chans': 3, 'embed_dims': [128, 192, 256, 320], 'depths': [2, 2, 6, 2], 'num_heads': [4, 6, 8, 10], 'C': None, 'window_size': 8, 'mlp_ratio': 4.0, 'qkv_bias': True, 'qk_scale': None, 'norm_layer': <class 'torch.nn.modules.normalization.LayerNorm'>, 'patch_norm': True}, 'decoder_kwargs': {'model': 'SwinJSCC_w/_SAandRA', 'img_size': (256, 256), 'embed_dims': [320, 256, 192, 128], 'depths': [2, 6, 2, 2], 'num_heads': [10, 8, 6, 4], 'C': None, 'window_size': 8, 'mlp_ratio': 4.0, 'qkv_bias': True, 'qk_scale': None, 'norm_layer': <class 'torch.nn.modules.normalization.LayerNorm'>, 'patch_norm': True}, '__dict__': <attribute '__dict__' of 'config' objects>, '__weakref__': <attribute '__weakref__' of 'config' objects>, '__doc__': None}
2025-09-21 19:01:21,003 - INFO] Network config: 
2025-09-21 19:01:21,004 - INFO] Encoder: 
2025-09-21 19:01:21,004 - INFO] {'model': 'SwinJSCC_w/_SAandRA', 'img_size': (256, 256), 'patch_size': 2, 'in_chans': 3, 'embed_dims': [128, 192, 256, 320], 'depths': [2, 2, 6, 2], 'num_heads': [4, 6, 8, 10], 'C': None, 'window_size': 8, 'mlp_ratio': 4.0, 'qkv_bias': True, 'qk_scale': None, 'norm_layer': <class 'torch.nn.modules.normalization.LayerNorm'>, 'patch_norm': True}
2025-09-21 19:01:21,004 - INFO] Decoder: 
2025-09-21 19:01:21,004 - INFO] {'model': 'SwinJSCC_w/_SAandRA', 'img_size': (256, 256), 'embed_dims': [320, 256, 192, 128], 'depths': [2, 6, 2, 2], 'num_heads': [10, 8, 6, 4], 'C': None, 'window_size': 8, 'mlp_ratio': 4.0, 'qkv_bias': True, 'qk_scale': None, 'norm_layer': <class 'torch.nn.modules.normalization.LayerNorm'>, 'patch_norm': True}
2025-09-21 19:01:21,005 - INFO] 【Channel】: Built awgn channel, SNR 1,4,7,10,13 dB.
/home/matthewwang16czap/SwinJSCC/main.py:426: DeprecationWarning: `np.math` is a deprecated alias for the standard library `math` module (Deprecated Numpy 1.25). Replace usages of `np.math` with `math`
  MSSSIM = -10 * np.math.log10(1 - msssim)
2025-09-21 19:01:21,918 - INFO] Time 0.486 | CBR 0.0208 (0.0208) | SNR 1.0 | PSNR 19.708 (19.708) | MSSSIM 0.492 (0.492) | Lr 0.0001
2025-09-21 19:01:22,247 - INFO] Time 0.076 | CBR 0.0208 (0.0208) | SNR 1.0 | PSNR 22.384 (21.046) | MSSSIM 0.701 (0.596) | Lr 0.0001
2025-09-21 19:01:22,394 - INFO] Time 0.074 | CBR 0.0208 (0.0208) | SNR 1.0 | PSNR 21.379 (21.157) | MSSSIM 0.754 (0.649) | Lr 0.0001
2025-09-21 19:01:22,578 - INFO] Time 0.111 | CBR 0.0208 (0.0208) | SNR 1.0 | PSNR 22.310 (21.445) | MSSSIM 0.730 (0.669) | Lr 0.0001
2025-09-21 19:01:22,762 - INFO] Time 0.110 | CBR 0.0208 (0.0208) | SNR 1.0 | PSNR 16.420 (20.440) | MSSSIM 0.348 (0.605) | Lr 0.0001
2025-09-21 19:01:22,907 - INFO] Time 0.073 | CBR 0.0208 (0.0208) | SNR 1.0 | PSNR 21.046 (20.541) | MSSSIM 0.614 (0.606) | Lr 0.0001
2025-09-21 19:01:23,056 - INFO] Time 0.072 | CBR 0.0208 (0.0208) | SNR 1.0 | PSNR 20.613 (20.551) | MSSSIM 0.654 (0.613) | Lr 0.0001
2025-09-21 19:01:23,204 - INFO] Time 0.074 | CBR 0.0208 (0.0208) | SNR 1.0 | PSNR 14.305 (19.771) | MSSSIM 0.363 (0.582) | Lr 0.0001
2025-09-21 19:01:23,388 - INFO] Time 0.111 | CBR 0.0208 (0.0208) | SNR 1.0 | PSNR 22.658 (20.091) | MSSSIM 0.739 (0.599) | Lr 0.0001
2025-09-21 19:01:23,535 - INFO] Time 0.072 | CBR 0.0208 (0.0208) | SNR 1.0 | PSNR 23.194 (20.402) | MSSSIM 0.731 (0.612) | Lr 0.0001
2025-09-21 19:01:23,719 - INFO] Time 0.110 | CBR 0.0208 (0.0208) | SNR 1.0 | PSNR 21.799 (20.529) | MSSSIM 0.647 (0.616) | Lr 0.0001
2025-09-21 19:01:23,865 - INFO] Time 0.072 | CBR 0.0208 (0.0208) | SNR 1.0 | PSNR 21.700 (20.626) | MSSSIM 0.795 (0.631) | Lr 0.0001
2025-09-21 19:01:24,012 - INFO] Time 0.072 | CBR 0.0208 (0.0208) | SNR 1.0 | PSNR 17.857 (20.413) | MSSSIM 0.459 (0.617) | Lr 0.0001
2025-09-21 19:01:24,157 - INFO] Time 0.072 | CBR 0.0208 (0.0208) | SNR 1.0 | PSNR 18.822 (20.300) | MSSSIM 0.506 (0.609) | Lr 0.0001
2025-09-21 19:01:24,306 - INFO] Time 0.075 | CBR 0.0208 (0.0208) | SNR 1.0 | PSNR 21.832 (20.402) | MSSSIM 0.781 (0.621) | Lr 0.0001
2025-09-21 19:01:24,451 - INFO] Time 0.072 | CBR 0.0208 (0.0208) | SNR 1.0 | PSNR 24.680 (20.669) | MSSSIM 0.735 (0.628) | Lr 0.0001
2025-09-21 19:01:24,634 - INFO] Time 0.110 | CBR 0.0208 (0.0208) | SNR 1.0 | PSNR 23.539 (20.838) | MSSSIM 0.720 (0.633) | Lr 0.0001
2025-09-21 19:01:24,780 - INFO] Time 0.072 | CBR 0.0208 (0.0208) | SNR 1.0 | PSNR 19.096 (20.741) | MSSSIM 0.463 (0.624) | Lr 0.0001
2025-09-21 19:01:24,925 - INFO] Time 0.072 | CBR 0.0208 (0.0208) | SNR 1.0 | PSNR 19.639 (20.683) | MSSSIM 0.672 (0.626) | Lr 0.0001
2025-09-21 19:01:25,106 - INFO] Time 0.109 | CBR 0.0208 (0.0208) | SNR 1.0 | PSNR 22.311 (20.765) | MSSSIM 0.814 (0.636) | Lr 0.0001
2025-09-21 19:01:25,249 - INFO] Time 0.071 | CBR 0.0208 (0.0208) | SNR 1.0 | PSNR 21.171 (20.784) | MSSSIM 0.707 (0.639) | Lr 0.0001
2025-09-21 19:01:25,392 - INFO] Time 0.070 | CBR 0.0208 (0.0208) | SNR 1.0 | PSNR 21.184 (20.802) | MSSSIM 0.590 (0.637) | Lr 0.0001
